PageTitle,Category,DontLinkCat,SubCategory,SubCatNotLink,Item,SubItem,ItemLevel3,LinkTextOverride
Art,Architecture,,,,,,,
,,,,,Bridge,,,
,,,,,Buildings,,,
,,,,,Construction,,,
,Art,,,,,,,
,,,,,Beauty,,,
,,,,,Carving,,,
,,,,,Colors,,,
,,,,,Drawing,,,
,,,,,Cartoons,,,
,,,,,Illusion,,,
,,,,,Images,,,
,,,,,Shapes,,,
,,,,,Symbols,,,
,,,,,Weaving,,,
,Entertainment,,,,,,,
,,,,,Acting,,,
,,,,,Fame,,,
,,,,,Film,,,
,,,,,Movies,,,
,,,,,Performance,,,
,,,,,Photography,,,
,,,,,,,,
,,,,,Pretend,,,
,,,,,Presentation,,,
,,,,,Puppets,,,
,,,,,Stagefright,,,
,,,,,Theatre,,,
