PageTitle,Category,DontLinkCat,SubCategory,SubCatNotLink,Item,SubItem,ItemLevel3,LinkOverride
Physical Education,,,,,,,,
,Exercise,,,,,,,
,,,,,Biking,,,
,,,,,Bowling,,,
,,,,,Climbing,,,
,,,,,Dancing,,,
,,,,,Diving,,,
,,,,,Hiking,,,
,,,,,Hopping,,,
,,,,,Juggling,,,
,,,,,Jumping,,,
,,,,,Marching,,,
,,,,,Playing,,,
,,,,,Running,,,
,,,,,Skateboarding,,,
,,,,,Skating,,,
,,,,,Skiing,,,
,,,,,Skipping,,,
,,,,,Sledding,,,
,,,,,Sliding,,,
,,,,,Surfing,,,
,,,,,Swimming,,,
,,,,,Swinging,,,
,,,,,Walking,,,
,Recreation,,,,,,,
,,,,,Camping,,,
,,,,,Fishing,,,
,,,,,Hobby,,,
,,,,,,Collection,,
,,,,,Hunting,,,
,,,,,Relaxation,,,
,,,,,Sports,,,
,,,,,,Acrobat,,
,,,,,,Baseball,,
,,,,,,Basketball,,
,,,,,,Diving,,
,,,,,,Football,,
,,,,,,Golf,,
,,,,,,Gymnastics,,
,,,,,,Hockey,,
,,,,,,Judo,,
,,,,,,Karate,,
,,,,,,Olympics,,
,,,,,,Soccer,,
,,,,,,Softball,,
,,,,,,Swimming,,
,,,,,,,Swimming Pool,
,,,,,,Tennis,,
,,,,,Yoga,,,
